# 港股主表 · 来自港交所官方 ListOfSecurities · 更新至 19/08/2026
# 由 scripts/gen_hk_master_csv.py 生成 · 共 3226 条(股票/ETF/REITs)
# name_en 是港交所给的英文名 —— 公开数据里没有中文名,不臆造
code,name_en,category,lot_size
00001,CKH HOLDINGS,Equity,500
00002,CLP HOLDINGS,Equity,500
00003,HK & CHINA GAS,Equity,1000
00004,WHARF HOLDINGS,Equity,1000
00005,HSBC HOLDINGS,Equity,400
00006,POWER ASSETS,Equity,500
00007,WISDOM WEALTH,Equity,10000
00008,PCCW,Equity,1000
00010,HANG LUNG GROUP,Equity,1000
00012,HENDERSON LAND,Equity,1000
00013,HUTCHMED,Equity,500
00014,HYSAN DEV,Equity,1000
00016,SHK PPT,Equity,500
00017,NEW WORLD DEV,Equity,1000
00018,ORIENTAL M G,Equity,2000
00019,SWIRE PACIFIC A,Equity,500
00020,SENSETIME-W,Equity,1000
00021,GREAT CHI HLDGS,Equity,5000
00022,MEXAN,Equity,2000
00023,BANK OF E ASIA,Equity,200
00025,CHEVALIER INT'L,Equity,2000
00026,CHINA MOTOR BUS,Equity,200
00027,GALAXY ENT,Equity,1000
00028,TIAN AN,Equity,1000
00029,DYNAMIC HOLD,Equity,2000
00030,YNBY INTL,Equity,2000
00031,CHINA AEROSPACE,Equity,2000
00032,CROSS-HAR(HOLD),Equity,1000
00033,INTL GENIUS,Equity,2000
00034,KOWLOON DEV,Equity,1000
00035,FE CONSORT INTL,Equity,1000
00036,FE HLDGS INTL,Equity,6000
00037,FE HOTELS,Equity,2000
00038,FIRST TRACTOR,Equity,2000
00039,CH BEIDAHUANG,Equity,8000
00040,GOLD PEAK,Equity,1000
00041,GREAT EAGLE H,Equity,1000
00042,NE ELECTRIC,Equity,2000
00045,HK&S HOTELS,Equity,500
00046,COMPUTER & TECH,Equity,2000
00048,C AUTO INT DECO,Equity,10000
00050,HK FERRY (HOLD),Equity,1000
00051,HARBOUR CENTRE,Equity,1000
00052,FAIRWOOD HOLD,Equity,500
00053,GUOCO GROUP,Equity,1000
00055,NEWAY GROUP,Equity,10000
00057,CHEN HSONG HOLD,Equity,2000
00058,SUNWAY INT'L,Equity,20000
00059,SKYFAME REALTY,Equity,2000
00060,HK FOOD INV,Equity,2000
00061,GREEN LEADER,Equity,10000
00062,TRANSPORT INT'L,Equity,400
00063,CHI ASIA VALLEY,Equity,1000
00064,GET NICE,Equity,2000
00065,GRAND OCEAN AR,Equity,4000
00066,MTR CORPORATION,Equity,500
00068,MANYCORE TECH,Equity,500
00069,SHANGRI-LA ASIA,Equity,2000
00070,RICH GOLDMAN,Equity,10000
00071,MIRAMAR HOTEL,Equity,1000
00072,META MEDIA,Equity,2000
00073,ASIAN CITRUS,Equity,1000
00075,Y.T. REALTY,Equity,2000
00076,ELATE HOLDINGS,Equity,4000
00077,AMS TRANSPORT,Equity,2000
00078,REGAL INT'L,Equity,2000
00079,CENTURY LEGEND,Equity,4000
00080,CAI CORP,Equity,10000
00081,CH OVS G OCEANS,Equity,1000
00082,CRAZY SPORTS,Equity,2000
00083,SINO LAND,Equity,2000
00084,STELUX HOLDINGS,Equity,1000
00085,CE HUADA TECH,Equity,2000
00086,SUN HUNG KAI CO,Equity,1000
00087,SWIRE PACIFIC B,Equity,2500
00088,TAI CHEUNG HOLD,Equity,1000
00089,TAI SANG LAND,Equity,1000
00090,PUXING ENERGY,Equity,2000
00092,CHAMPION TECH,Equity,12000
00093,ZERO FINTECH,Equity,2000
00094,GREENHEART GP,Equity,80000
00095,LVGEM CHINA,Equity,2000
